statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation,q1,q2,q3
A cat doesn't want its tail pulled.,0,1,0,1,0,1,General reference,Concept Net,"Consider the statement, ""A cat doesn't want its tail pulled."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat doesn't want its tail pulled."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat doesn't want its tail pulled."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A cat doesn't want to be wet.,0,1,0,1,0,1,Natural and physical sciences,Concept Net,"Consider the statement, ""A cat doesn't want to be wet."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat doesn't want to be wet."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat doesn't want to be wet."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A cat doesn't want to get wet.,0,1,0,0,0,0,Natural and physical sciences,Concept Net,"Consider the statement, ""A cat doesn't want to get wet."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat doesn't want to get wet."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat doesn't want to get wet."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A cat is a feline.,0,0,0,0,0,1,Natural and physical sciences,Concept Net,"Consider the statement, ""A cat is a feline."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat is a feline."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A cat is a feline."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized.,1,0,0,1,1,0,Human activities,aphorism,"Consider the statement, ""A celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A celebrity is a person who works hard all his life to become well known then wears dark glasses to avoid being recognized."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A child does not laugh at the ugliness of its mother.,1,1,0,1,1,0,People and self,aphorism,"Consider the statement, ""A child does not laugh at the ugliness of its mother."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A child does not laugh at the ugliness of its mother."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A child does not laugh at the ugliness of its mother."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A circle is round.,0,1,0,0,0,0,General reference,Concept Net,"Consider the statement, ""A circle is round."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A circle is round."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A circle is round."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A computer can be turned on by pressing its power button.,0,1,0,0,0,0,Technology and applied sciences,category response,"Consider the statement, ""A computer can be turned on by pressing its power button."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A computer can be turned on by pressing its power button."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A computer can be turned on by pressing its power button."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A computer virus is not living.,0,1,0,0,0,0,Technology and applied sciences,Concept Net,"Consider the statement, ""A computer virus is not living."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A computer virus is not living."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A computer virus is not living."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A couch potato needs to establish a program to promote good health and fitness.,1,0,0,0,0,1,Health and fitness,category response,"Consider the statement, ""A couch potato needs to establish a program to promote good health and fitness."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A couch potato needs to establish a program to promote good health and fitness."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A couch potato needs to establish a program to promote good health and fitness."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A crime would make you want to conduct a trial.,1,1,1,0,1,0,Society and social sciences,Concept Net,"Consider the statement, ""A crime would make you want to conduct a trial."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A crime would make you want to conduct a trial."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A crime would make you want to conduct a trial."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A deaf husband and a blind wife are a happy couple.,1,0,0,1,1,1,Society and social sciences,aphorism,"Consider the statement, ""A deaf husband and a blind wife are a happy couple."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A deaf husband and a blind wife are a happy couple."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A deaf husband and a blind wife are a happy couple."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A democracy is two wolves and a small lamb voting on what to have for dinner freedom under a constitutional republic is a well armed lamb contesting the vote.,1,1,1,1,0,0,History and events,aphorism,"Consider the statement, ""A democracy is two wolves and a small lamb voting on what to have for dinner freedom under a constitutional republic is a well armed lamb contesting the vote."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A democracy is two wolves and a small lamb voting on what to have for dinner freedom under a constitutional republic is a well armed lamb contesting the vote."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A democracy is two wolves and a small lamb voting on what to have for dinner freedom under a constitutional republic is a well armed lamb contesting the vote."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A desire to share knowledge would make you want to teach other people.,1,0,1,1,1,1,General reference,Concept Net,"Consider the statement, ""A desire to share knowledge would make you want to teach other people."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A desire to share knowledge would make you want to teach other people."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A desire to share knowledge would make you want to teach other people."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A different language is a different vision of life.,1,0,1,1,1,0,Philosophy and thinking,aphorism,"Consider the statement, ""A different language is a different vision of life."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A different language is a different vision of life."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A different language is a different vision of life."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A doctor and a farmer know more than a doctor alone.,0,0,0,0,0,1,History and events,aphorism,"Consider the statement, ""A doctor and a farmer know more than a doctor alone."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A doctor and a farmer know more than a doctor alone."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A doctor and a farmer know more than a doctor alone."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A dog doesn't want fleas.,0,1,0,1,0,0,Natural and physical sciences,Concept Net,"Consider the statement, ""A dog doesn't want fleas."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A dog doesn't want fleas."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A dog doesn't want fleas."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A fanatic is one who can`t change his mind and won`t change the subject.,0,0,1,0,1,1,Culture and the arts,aphorism,"Consider the statement, ""A fanatic is one who can`t change his mind and won`t change the subject."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A fanatic is one who can`t change his mind and won`t change the subject."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A fanatic is one who can`t change his mind and won`t change the subject."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A few people don t say what they think and some others don t think before they speak.,1,1,1,1,1,0,People and self,aphorism,"Consider the statement, ""A few people don t say what they think and some others don t think before they speak."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A few people don t say what they think and some others don t think before they speak."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A few people don t say what they think and some others don t think before they speak."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A few vices are sufficient to darken many virtues.,1,0,1,1,1,0,Philosophy and thinking,aphorism,"Consider the statement, ""A few vices are sufficient to darken many virtues."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A few vices are sufficient to darken many virtues."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A few vices are sufficient to darken many virtues."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A fool is busy with anyone s business but his own.,1,0,1,1,1,0,People and self,aphorism,"Consider the statement, ""A fool is busy with anyone s business but his own."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A fool is busy with anyone s business but his own."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A fool is busy with anyone s business but his own."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A fracking ban should not be implemented.,0,1,1,0,0,1,Health and fitness,news media,"Consider the statement, ""A fracking ban should not be implemented."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A fracking ban should not be implemented."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A fracking ban should not be implemented."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A freshman in college would drop out.,1,0,0,0,1,0,Culture and the arts,category response,"Consider the statement, ""A freshman in college would drop out."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A freshman in college would drop out."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A freshman in college would drop out."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A full bladder would make you want to urinate.,0,1,0,0,0,0,Health and fitness,Concept Net,"Consider the statement, ""A full bladder would make you want to urinate."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A full bladder would make you want to urinate."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A full bladder would make you want to urinate."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A gardener s dog neither eats cabbage nor lets anybody else.,1,1,1,1,1,0,People and self,aphorism,"Consider the statement, ""A gardener s dog neither eats cabbage nor lets anybody else."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A gardener s dog neither eats cabbage nor lets anybody else."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A gardener s dog neither eats cabbage nor lets anybody else."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A gay person doesn't want homophobia.,1,1,0,1,1,1,People and self,Concept Net,"Consider the statement, ""A gay person doesn't want homophobia."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A gay person doesn't want homophobia."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A gay person doesn't want homophobia."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A generally accepted opinion is not on that basis guaranteed valid or a proof of its accuracy equally it is not proof of its falsity.,1,0,1,1,0,1,Philosophy and thinking,aphorism,"Consider the statement, ""A generally accepted opinion is not on that basis guaranteed valid or a proof of its accuracy equally it is not proof of its falsity."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A generally accepted opinion is not on that basis guaranteed valid or a proof of its accuracy equally it is not proof of its falsity."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A generally accepted opinion is not on that basis guaranteed valid or a proof of its accuracy equally it is not proof of its falsity."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A goal should scare you a little and excite you a lot.,1,0,0,1,1,1,General reference,aphorism,"Consider the statement, ""A goal should scare you a little and excite you a lot."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A goal should scare you a little and excite you a lot."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A goal should scare you a little and excite you a lot."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A good laugh and a long sleep are the best cures in the doctor s book.,1,1,1,0,0,0,People and self,aphorism,"Consider the statement, ""A good laugh and a long sleep are the best cures in the doctor s book."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good laugh and a long sleep are the best cures in the doctor s book."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good laugh and a long sleep are the best cures in the doctor s book."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A good logistics corridor will have great access to water rail highway and a large market for service.,1,1,1,1,1,1,General reference,news media,"Consider the statement, ""A good logistics corridor will have great access to water rail highway and a large market for service."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good logistics corridor will have great access to water rail highway and a large market for service."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good logistics corridor will have great access to water rail highway and a large market for service."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A good marriage would be between a blind wife and a deaf husband.,1,1,1,1,1,0,General reference,aphorism,"Consider the statement, ""A good marriage would be between a blind wife and a deaf husband."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good marriage would be between a blind wife and a deaf husband."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good marriage would be between a blind wife and a deaf husband."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A good nights sleep is often over looked by health nuts and fitness fanatics'.,1,1,0,1,1,0,Health and fitness,category response,"Consider the statement, ""A good nights sleep is often over looked by health nuts and fitness fanatics'."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good nights sleep is often over looked by health nuts and fitness fanatics'."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good nights sleep is often over looked by health nuts and fitness fanatics'."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A good way to be healthy is to exercise.,0,0,0,0,0,1,Health and fitness,category response,"Consider the statement, ""A good way to be healthy is to exercise."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good way to be healthy is to exercise."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A good way to be healthy is to exercise."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A grain of sand is very small.,1,0,0,0,0,0,Natural and physical sciences,Concept Net,"Consider the statement, ""A grain of sand is very small."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A grain of sand is very small."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A grain of sand is very small."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A great boss would not make employees work overtime without compensation.,0,1,0,1,0,1,Human activities,category response,"Consider the statement, ""A great boss would not make employees work overtime without compensation."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A great boss would not make employees work overtime without compensation."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A great boss would not make employees work overtime without compensation."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A gregarious person doesn't want to be alone.,1,0,0,1,0,1,People and self,Concept Net,"Consider the statement, ""A gregarious person doesn't want to be alone."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A gregarious person doesn't want to be alone."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A gregarious person doesn't want to be alone."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A happy marriage is a long conversation which always seems too short.,1,0,1,1,1,1,People and self,aphorism,"Consider the statement, ""A happy marriage is a long conversation which always seems too short."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A happy marriage is a long conversation which always seems too short."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A happy marriage is a long conversation which always seems too short."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A heart can no more be forced to love than a stomach can be forced to digest food by persuasion.,1,0,1,1,1,1,Philosophy and thinking,aphorism,"Consider the statement, ""A heart can no more be forced to love than a stomach can be forced to digest food by persuasion."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A heart can no more be forced to love than a stomach can be forced to digest food by persuasion."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A heart can no more be forced to love than a stomach can be forced to digest food by persuasion."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A hexagon will always have six sides.,0,1,0,0,0,0,Mathematics and logic,category response,"Consider the statement, ""A hexagon will always have six sides."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A hexagon will always have six sides."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A hexagon will always have six sides."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A hidden connection is stronger than an obvious one.,0,0,1,0,0,0,Culture and the arts,aphorism,"Consider the statement, ""A hidden connection is stronger than an obvious one."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A hidden connection is stronger than an obvious one."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A hidden connection is stronger than an obvious one."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A human must turn information into intelligence or knowledge we've tended to forget that no computer will ever ask a new question.,0,0,0,1,0,1,Technology and applied sciences,aphorism,"Consider the statement, ""A human must turn information into intelligence or knowledge we've tended to forget that no computer will ever ask a new question."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A human must turn information into intelligence or knowledge we've tended to forget that no computer will ever ask a new question."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A human must turn information into intelligence or knowledge we've tended to forget that no computer will ever ask a new question."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A husband is a guy who tells you when you`ve got on too much lipstick.,1,1,0,1,1,0,People and self,aphorism,"Consider the statement, ""A husband is a guy who tells you when you`ve got on too much lipstick."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A husband is a guy who tells you when you`ve got on too much lipstick."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A husband is a guy who tells you when you`ve got on too much lipstick."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A lawyer s opinion is worth nothing until paid for.,1,1,1,1,1,0,Philosophy and thinking,aphorism,"Consider the statement, ""A lawyer s opinion is worth nothing until paid for."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A lawyer s opinion is worth nothing until paid for."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A lawyer s opinion is worth nothing until paid for."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A life of leisure is a kingdom with less care than a kingdom requires.,1,0,1,1,1,0,People and self,aphorism,"Consider the statement, ""A life of leisure is a kingdom with less care than a kingdom requires."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A life of leisure is a kingdom with less care than a kingdom requires."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A life of leisure is a kingdom with less care than a kingdom requires."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A loving heart maintains a family a hateful heart destroys it.,1,1,0,1,1,0,Human activities,aphorism,"Consider the statement, ""A loving heart maintains a family a hateful heart destroys it."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A loving heart maintains a family a hateful heart destroys it."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A loving heart maintains a family a hateful heart destroys it."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A low covid positivity rate should allow for restrictions to be loosened.,0,0,0,0,0,1,History and events,news media,"Consider the statement, ""A low covid positivity rate should allow for restrictions to be loosened."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A low covid positivity rate should allow for restrictions to be loosened."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A low covid positivity rate should allow for restrictions to be loosened."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A man finds himself seven years older the day after his marriage.,1,1,1,1,1,1,People and self,aphorism,"Consider the statement, ""A man finds himself seven years older the day after his marriage."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A man finds himself seven years older the day after his marriage."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A man finds himself seven years older the day after his marriage."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A man has one hundred dollars and you leave him with two dollars that`s subtraction.,0,0,1,1,0,1,General reference,aphorism,"Consider the statement, ""A man has one hundred dollars and you leave him with two dollars that`s subtraction."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A man has one hundred dollars and you leave him with two dollars that`s subtraction."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A man has one hundred dollars and you leave him with two dollars that`s subtraction."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A man in love is not complete until he is married then he is finished.,1,0,1,1,1,1,Society and social sciences,aphorism,"Consider the statement, ""A man in love is not complete until he is married then he is finished."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A man in love is not complete until he is married then he is finished."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A man in love is not complete until he is married then he is finished."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do.,1,1,0,1,1,0,People and self,aphorism,"Consider the statement, ""A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do."" Do you agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do."" Do you think most people would agree with this statement? Start your answer with a ""yes"" or ""no"".","Consider the statement, ""A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do."" Do you think this statement is common sense? Start your answer with a ""yes"" or ""no""."
